Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,DrbSucc,Int,TklW
327,Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Kenny McLean,sct SCO,MF,Norwich City,29,1992,31,29,2706,30.1,1,0,1,1,0,0,3,0,1.8,1.8,0.8,2.6,32,99,61,0.03,0,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,19,34,22
329,Dwight McNeil,eng ENG,MF,Burnley,21,1999,38,35,3107,34.5,0,1,1,0,0,0,1,0,2.3,2.3,4.6,6.9,93,104,112,0,0.03,0.03,0,0.03,0.07,0.13,0.2,0.07,0.2,90,35,49
330,Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,30,28,2387,26.5,1,1,2,1,0,0,9,0,1.4,1.4,1.5,2.9,40,125,37,0.04,0.04,0.08,0.04,0.08,0.05,0.06,0.11,0.05,0.11,36,31,33
331,Ben Mee,eng ENG,DF,Burnley,31,1989,21,21,1839,20.4,3,0,3,3,0,0,3,0,2.3,2.3,1,3.4,3,38,2,0.15,0,0.15,0.15,0.15,0.11,0.05,0.17,0.11,0.17,4,24,12
332,Hannibal Mejbri,tn TUN,FW,Manchester Utd,18,2003,2,1,68,0.8,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,0,0,4,0,0,0,0,0,0.09,0,0.09,0.09,0.09,1,0,1
333,Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,9,4,0,0,0,0,0,0,0.16,0.16,0,0.16,2,0,2
334,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,34,3060,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,14,12,1032,11.5,0,0,0,0,0,0,3,0,0,0,0,0,9,36,8,0,0,0,0,0,0,0,0,0,0,4,11,6
336,Illan Meslier,fr FRA,GK,Leeds United,21,2000,38,38,3384,37.6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
337,Luka Milivojević,rs SRB,MF,Crystal Palace,30,1991,15,9,774,8.6,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1,2,37,4,0,0,0,0,0,0.03,0.08,0.11,0.03,0.11,2,11,9
338,James Milner,eng ENG,MFDF,Liverpool,35,1986,24,9,853,9.5,0,1,1,0,0,0,2,0,0.4,0.4,2.2,2.5,9,73,38,0,0.11,0.11,0,0.11,0.04,0.23,0.26,0.04,0.26,2,17,16
339,Yerry Mina,co COL,DF,Everton,26,1994,13,11,846,9.4,0,0,0,0,0,0,3,0,0.3,0.3,0,0.3,1,20,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,0,11,10
340,Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,11,1,186,2.1,3,0,3,3,0,0,1,0,1.6,1.6,0.5,2.2,2,5,15,1.45,0,1.45,1.45,1.45,0.79,0.25,1.04,0.79,1.04,1,1,2
341,Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,36,35,3189,35.4,1,3,4,1,0,0,11,0,1.6,1.6,1.6,3.3,23,91,17,0.03,0.08,0.11,0.03,0.11,0.05,0.05,0.09,0.05,0.09,11,46,12
342,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,36,35,3101,34.5,0,2,2,0,0,0,1,0,0.2,0.2,1.7,1.9,41,134,116,0,0.06,0.06,0,0.06,0.01,0.05,0.05,0.01,0.05,16,41,57
343,Jakub Moder,pl POL,MF,Brighton,22,1999,28,19,1701,18.9,0,3,3,0,0,0,1,0,2.6,2.6,2.2,4.8,42,89,102,0,0.16,0.16,0,0.16,0.14,0.12,0.25,0.14,0.25,12,10,25
344,Wesley Moraes,br BRA,FW,Aston Villa,24,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Tyler Morton,eng ENG,MF,Liverpool,18,2002,2,1,66,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0
346,Mason Mount,eng ENG,MF,Chelsea,22,1999,32,27,2363,26.3,11,10,21,10,1,1,4,0,8,7.2,6.7,14,92,164,276,0.42,0.38,0.8,0.38,0.76,0.31,0.26,0.56,0.28,0.53,18,13,16
347,Lucas Moura,br BRA,FWMF,Tottenham,28,1992,34,19,1775,19.7,2,6,8,2,0,0,4,0,2.7,2.7,5,7.7,48,99,87,0.1,0.3,0.41,0.1,0.41,0.14,0.25,0.39,0.14,0.39,56,18,10
348,João Moutinho,pt POR,MF,Wolves,34,1986,35,34,2970,33,2,1,3,2,0,0,4,0,1.3,1.3,2.7,3.9,42,196,37,0.06,0.03,0.09,0.06,0.09,0.04,0.08,0.12,0.04,0.12,16,34,39
349,Bali Mumba,eng ENG,DF,Norwich City,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
350,Jacob Murphy,eng ENG,FWDF,Newcastle Utd,26,1995,33,13,1473,16.4,1,2,3,1,0,0,4,0,2.2,2.2,2.6,4.8,51,44,80,0.06,0.12,0.18,0.06,0.18,0.13,0.16,0.29,0.13,0.29,13,23,26
351,Enock Mwepu,zm ZAM,MF,Brighton,23,1998,18,12,996,11.1,2,4,6,2,0,0,2,0,2.1,2.1,1.6,3.7,22,27,44,0.18,0.36,0.54,0.18,0.54,0.19,0.14,0.33,0.19,0.33,15,12,12
352,Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,13,12,1055,11.7,1,0,1,1,0,0,0,0,0.5,0.5,0.8,1.2,8,27,27,0.09,0,0.09,0.09,0.09,0.04,0.06,0.11,0.04,0.11,3,16,15
353,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,16,10,904,10,0,0,0,0,0,0,5,0,0,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,14,12,19
354,Wilfred Ndidi,ng NGA,MFDF,Leicester City,24,1996,19,18,1618,18,0,0,0,0,0,0,4,0,0.7,0.7,0,0.8,14,57,13,0,0,0,0,0,0.04,0,0.04,0.04,0.04,11,42,32
355,Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,9,6,484,5.4,1,1,2,1,0,0,1,0,0.4,0.4,0.4,0.8,14,21,25,0.19,0.19,0.37,0.19,0.37,0.08,0.07,0.16,0.08,0.16,11,1,7
356,Reiss Nelson,eng ENG,FW,Arsenal,21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,4,0,0,0,0,0,0.24,0.21,0.45,0.24,0.45,0,0,0
357,Pedro Neto,pt POR,FWMF,Wolves,21,2000,13,5,466,5.2,1,1,2,1,0,0,3,0,1.5,1.5,1,2.5,27,10,49,0.19,0.19,0.39,0.19,0.39,0.29,0.2,0.49,0.29,0.49,12,6,4
358,Rúben Neves,pt POR,MF,Wolves,24,1997,33,31,2661,29.6,4,2,6,4,0,0,9,0,1.1,1.1,3.1,4.3,34,202,19,0.14,0.07,0.2,0.14,0.2,0.04,0.11,0.14,0.04,0.14,26,41,37
359,Jeremy Ngakia,eng ENG,DF,Watford,20,2000,16,9,903,10,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,18,39,20,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,9,12,18
360,Saúl Ñíguez,es ESP,DFMF,Chelsea,26,1994,10,5,480,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.9,4,15,27,0,0,0,0,0,0.07,0.1,0.16,0.07,0.16,2,7,9
361,Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,21,8,835,9.3,5,1,6,5,0,0,3,0,4.4,4.4,2,6.4,27,21,66,0.54,0.11,0.65,0.54,0.65,0.47,0.22,0.69,0.47,0.69,14,4,4
362,Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,3,2,168,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,1,2,0
363,Mark Noble,eng ENG,MF,West Ham,34,1987,11,3,332,3.7,1,0,1,0,1,2,0,0,1.6,0,0,0,2,14,3,0.27,0,0.27,0,0,0.43,0,0.43,0,0,3,4,2
364,Mathias Normann,no NOR,MF,Norwich City,25,1996,23,20,1645,18.3,1,2,3,1,0,0,6,0,0.9,0.9,1.8,2.7,16,75,8,0.05,0.11,0.16,0.05,0.16,0.05,0.1,0.15,0.05,0.15,17,19,21
365,Christian Nørgaard,dk DEN,MF,Brentford,27,1994,35,35,3054,33.9,3,4,7,3,0,0,8,0,3.8,3.8,3.3,7.1,17,169,31,0.09,0.12,0.21,0.09,0.21,0.11,0.1,0.21,0.11,0.21,18,64,60
366,Angelo Ogbonna,it ITA,DF,West Ham,33,1988,11,11,921,10.2,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,2,14,0,0.1,0,0.1,0.1,0.1,0.03,0,0.03,0.03,0.03,1,11,4
367,Michael Olise,fr FRA,FWMF,Crystal Palace,19,2001,26,12,1141,12.7,2,5,7,2,0,0,4,0,1.7,1.7,3.9,5.6,55,63,110,0.16,0.39,0.55,0.16,0.55,0.13,0.3,0.44,0.13,0.44,28,6,18
368,Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,5,4,382,4.2,1,0,1,1,0,0,1,0,0.2,0.2,0,0.2,6,14,1,0.24,0,0.24,0.24,0.24,0.06,0,0.06,0.06,0.06,0,5,6
370,Tyler Onyango,eng ENG,MF,Everton,18,2003,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0.15,0.15,0,0,0
371,Frank Onyeka,ng NGA,MF,Brentford,23,1998,20,12,1045,11.6,0,0,0,0,0,0,4,0,0.8,0.8,0.2,1,18,35,27,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,11,14,17
372,Divock Origi,be BEL,FW,Liverpool,26,1995,7,0,133,1.5,3,0,3,3,0,0,0,0,1.5,1.5,0,1.5,3,2,9,2.03,0,2.03,2.03,2.03,1.02,0,1.02,1.02,1.02,1,1,0
373,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27,1993,17,9,785,8.7,2,1,3,2,0,0,0,0,1.3,1.3,1.1,2.5,34,61,63,0.23,0.11,0.34,0.23,0.34,0.15,0.13,0.28,0.15,0.28,12,6,11
374,Cole Palmer,eng ENG,FWMF,Manchester City,19,2002,4,1,123,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,3,15,0,0,0,0,0,0.31,0.16,0.47,0.31,0.47,1,1,1
375,Emerson Palmieri,it ITA,DF,Chelsea,26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Thomas Partey,gh GHA,MF,Arsenal,28,1993,24,23,2028,22.5,2,1,3,2,0,0,6,0,2.8,2.8,1,3.8,20,119,11,0.09,0.04,0.13,0.09,0.13,0.12,0.05,0.17,0.12,0.17,35,23,29
377,Nicolas Pépé,ci CIV,FWMF,Arsenal,26,1995,20,5,696,7.7,1,2,3,1,0,0,0,0,2.6,2.6,1.7,4.3,20,17,97,0.13,0.26,0.39,0.13,0.39,0.34,0.22,0.56,0.34,0.56,19,8,5
378,Ricardo Pereira,pt POR,DF,Leicester City,27,1993,14,13,991,11,1,3,4,1,0,0,3,0,0.7,0.7,1.3,2,28,43,34,0.09,0.27,0.36,0.09,0.36,0.06,0.12,0.18,0.06,0.18,11,17,20
379,Ayoze Pérez,es ESP,MFFW,Leicester City,28,1993,14,6,445,4.9,2,3,5,2,0,0,0,1,1.6,1.6,1.6,3.2,16,18,30,0.4,0.61,1.01,0.4,1.01,0.32,0.32,0.64,0.32,0.64,10,2,2
380,Sonny Perkins,eng ENG,FW,West Ham,17,2004,1,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,,0,0
381,Romain Perraud,fr FRA,DF,Southampton,23,1997,20,18,1623,18,0,1,1,0,0,0,3,0,0.5,0.5,0.7,1.2,34,48,91,0,0.06,0.06,0,0.06,0.03,0.04,0.07,0.03,0.07,8,17,22
382,Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,20,18,1596,17.7,0,1,1,0,0,0,4,0,0.7,0.7,0.7,1.4,6,93,14,0,0.06,0.06,0,0.06,0.04,0.04,0.08,0.04,0.08,7,24,25
383,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Jordan Pickford,eng ENG,GK,Everton,27,1994,35,35,3150,35,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
385,Erik Pieters,nl NED,DF,Burnley,32,1988,12,8,730,8.1,0,1,1,0,0,0,1,0,0.2,0.2,1,1.2,7,15,11,0,0.12,0.12,0,0.12,0.02,0.12,0.14,0.02,0.14,3,10,15
386,Ethan Pinnock,jm JAM,DF,Brentford,28,1993,32,32,2694,29.9,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,11,77,18,0.03,0.03,0.07,0.03,0.07,0.04,0.04,0.08,0.04,0.08,9,44,35
387,Daniel Podence,pt POR,FWMF,Wolves,25,1995,26,15,1484,16.5,2,3,5,2,0,0,2,0,2,2,3.9,5.9,63,75,102,0.12,0.18,0.3,0.12,0.3,0.12,0.23,0.36,0.12,0.36,35,10,11
388,Paul Pogba,fr FRA,MFFW,Manchester Utd,28,1993,20,16,1349,15,1,9,10,1,0,0,7,1,2.6,2.6,3.5,6.1,34,117,62,0.07,0.6,0.67,0.07,0.67,0.18,0.23,0.41,0.18,0.41,39,13,9
389,Nick Pope,eng ENG,GK,Burnley,29,1992,36,36,3240,36,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
390,Isaac Price,nir NIR,MF,Everton,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,1,0,0,0,0,0,0.56,0,0.56,0.56,0.56,0,0,0
391,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,37,37,3253,36.1,11,3,14,8,3,3,4,0,11.4,9.1,3.8,12.9,62,34,186,0.3,0.08,0.39,0.22,0.3,0.32,0.11,0.42,0.25,0.36,27,4,11
392,Christian Pulisic,us USA,MFFW,Chelsea,22,1998,22,13,1290,14.3,6,2,8,6,0,0,2,0,4.9,4.9,1.3,6.2,44,38,108,0.42,0.14,0.56,0.42,0.56,0.34,0.09,0.43,0.34,0.43,25,5,7
393,Przemysław Płacheta,pl POL,FWMF,Norwich City,23,1998,12,6,504,5.6,0,0,0,0,0,0,1,0,0.4,0.4,0.8,1.1,19,10,35,0,0,0,0,0,0.07,0.14,0.2,0.07,0.2,10,2,3
394,Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,2,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
395,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,34,3060,34,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
396,Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,34,29,2467,27.4,6,1,7,6,0,0,6,0,4,4,1.9,5.9,91,132,92,0.22,0.04,0.26,0.22,0.26,0.15,0.07,0.22,0.15,0.22,30,24,44
397,Raphinha,br BRA,FWMF,Leeds United,24,1996,35,34,2915,32.4,11,3,14,7,4,4,7,0,10.2,7,7.5,14.5,89,134,286,0.34,0.09,0.43,0.22,0.31,0.31,0.23,0.54,0.22,0.45,62,29,29
398,Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,25,13,1235,13.7,4,2,6,4,0,0,2,0,2.9,2.9,2.1,5,50,28,118,0.29,0.15,0.44,0.29,0.44,0.21,0.15,0.36,0.21,0.36,22,5,5
399,Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,31,25,2229,24.8,1,2,3,1,0,0,0,0,2.6,2.6,2.1,4.7,76,46,138,0.04,0.08,0.12,0.04,0.12,0.11,0.08,0.19,0.11,0.19,16,15,19
400,David Raya,es ESP,GK,Brentford,25,1995,24,24,2160,24,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,27,20,1833,20.4,1,5,6,1,0,0,0,0,1.7,1.7,3.9,5.6,71,95,131,0.05,0.25,0.29,0.05,0.29,0.08,0.19,0.27,0.08,0.27,21,8,14
402,Sergio Reguilón,es ESP,DFMF,Tottenham,24,1996,25,22,1916,21.3,2,3,5,2,0,0,4,0,3,3,3.3,6.4,63,50,144,0.09,0.14,0.23,0.09,0.23,0.14,0.16,0.3,0.14,0.3,19,31,24
403,Declan Rice,eng ENG,MF,West Ham,22,1999,36,35,3179,35.3,1,4,5,1,0,0,8,0,1.1,1.1,1.7,2.8,104,256,44,0.03,0.11,0.14,0.03,0.14,0.03,0.05,0.08,0.03,0.08,50,63,42
404,Taylor Richards,eng ENG,MF,Brighton,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,0,0,0
405,Richarlison,br BRA,FW,Everton,24,1997,30,28,2523,28,10,5,15,7,3,3,9,0,9.2,6.8,3.6,10.4,44,42,146,0.36,0.18,0.54,0.25,0.43,0.33,0.13,0.46,0.24,0.37,40,12,23
406,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,3,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,4,2,0,0,0,0,0,0,0.07,0.07,0,0.07,1,1,1
407,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,18,14,1337,14.9,0,2,2,0,0,0,5,0,0.7,0.7,2,2.7,8,48,40,0,0.13,0.13,0,0.13,0.05,0.13,0.18,0.05,0.18,4,13,15
408,Connor Roberts,wls WAL,DF,Burnley,25,1995,21,19,1692,18.8,1,1,2,1,0,0,2,0,0.4,0.4,1.2,1.6,23,61,44,0.05,0.05,0.11,0.05,0.11,0.02,0.07,0.09,0.02,0.09,6,22,13
409,Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,23,7,987,11,1,1,2,1,0,0,5,0,2.4,2.4,1,3.4,17,29,63,0.09,0.09,0.18,0.09,0.18,0.22,0.09,0.31,0.22,0.31,12,5,7
410,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,29,29,2537,28.2,3,10,13,3,0,0,5,1,1.4,1.4,5.6,7,96,186,239,0.11,0.35,0.46,0.11,0.46,0.05,0.2,0.25,0.05,0.25,13,23,21
411,Joe Rodon,wls WAL,DF,Tottenham,23,1997,3,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,Rodri,es ESP,MF,Manchester City,25,1996,33,33,2884,32,7,2,9,7,0,0,5,0,2.3,2.3,1.4,3.7,43,285,47,0.22,0.06,0.28,0.22,0.28,0.07,0.04,0.11,0.07,0.11,12,28,43
413,Rodrigo,es ESP,MFFW,Leeds United,30,1991,31,27,2265,25.2,6,1,7,5,1,1,9,0,4.2,3.5,3.1,6.6,47,105,164,0.24,0.04,0.28,0.2,0.24,0.17,0.12,0.29,0.14,0.26,22,11,9
414,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,29,13,1382,15.4,2,2,4,2,0,0,3,0,4.8,4.8,2.1,6.9,18,19,60,0.13,0.13,0.26,0.13,0.26,0.31,0.14,0.45,0.31,0.45,8,4,12
415,Mads Roerslev,dk DEN,DF,Brentford,22,1999,21,12,1240,13.8,1,1,2,1,0,0,1,0,0.4,0.4,0.6,0.9,14,22,54,0.07,0.07,0.15,0.07,0.15,0.03,0.04,0.07,0.03,0.07,4,16,12
416,Cristian Romero,ar ARG,DF,Tottenham,23,1998,22,21,1844,20.5,1,0,1,1,0,0,8,0,0.5,0.5,0.3,0.7,23,65,9,0.05,0,0.05,0.05,0.05,0.02,0.01,0.04,0.02,0.04,9,33,39
417,Oriol Romeu,es ESP,MF,Southampton,29,1991,36,34,2889,32.1,2,2,4,2,0,0,9,0,1.4,1.4,2.9,4.3,38,156,29,0.06,0.06,0.12,0.06,0.12,0.04,0.09,0.13,0.04,0.13,30,51,39
418,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,30,27,2456,27.3,18,3,21,15,3,3,8,0,17.7,15.4,2.9,18.2,67,64,192,0.66,0.11,0.77,0.55,0.66,0.65,0.11,0.75,0.56,0.67,20,2,6
419,Salomón Rondón,ve VEN,FW,Everton,31,1989,20,8,790,8.8,1,1,2,1,0,0,3,1,1.8,1.8,0.7,2.6,5,9,41,0.11,0.11,0.23,0.11,0.23,0.21,0.08,0.29,0.21,0.29,4,0,1
420,Danny Rose,eng ENG,DF,Watford,31,1990,8,7,689,7.7,0,0,0,0,0,0,4,0,0.2,0.2,0.8,1,12,33,19,0,0,0,0,0,0.03,0.1,0.13,0.03,0.13,9,14,10
421,Jon Rowe,eng ENG,FWMF,Norwich City,18,2003,13,0,223,2.5,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,4,3,21,0,0.4,0.4,0,0.4,0.1,0.21,0.31,0.1,0.31,4,3,2
422,John Ruddy,eng ENG,GK,Wolves,34,1986,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,34,34,3035,33.7,3,0,3,3,0,0,9,0,2.3,2.3,0.7,3,54,188,21,0.09,0,0.09,0.09,0.09,0.07,0.02,0.09,0.07,0.09,6,28,28
424,Lukas Rupp,de GER,MF,Norwich City,30,1991,19,7,769,8.5,0,0,0,0,0,0,0,0,0.7,0.7,1.4,2,17,35,23,0,0,0,0,0,0.08,0.16,0.24,0.08,0.24,18,9,4
425,José Sá,pt POR,GK,Wolves,28,1993,37,37,3285,36.5,0,1,1,0,0,0,3,0,0,0,0.9,0.9,0,2,0,0,0.03,0.03,0,0.03,0,0.02,0.02,0,0.02,4,2,1
426,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,35,31,2804,31.2,5,5,10,5,0,0,6,0,5.2,5.2,4.3,9.5,180,87,167,0.16,0.16,0.32,0.16,0.32,0.17,0.14,0.3,0.17,0.3,150,11,8
427,Romain Saïss,ma MAR,DF,Wolves,31,1990,31,31,2705,30.1,2,0,2,2,0,0,6,0,2.7,2.7,0.3,3.1,18,137,9,0.07,0,0.07,0.07,0.07,0.09,0.01,0.1,0.09,0.1,7,58,27
428,Bukayo Saka,eng ENG,FWMF,Arsenal,19,2001,38,36,2978,33.1,11,7,18,9,2,2,6,0,10.3,8.7,7.5,16.3,140,101,388,0.33,0.21,0.54,0.27,0.48,0.31,0.23,0.54,0.26,0.49,43,22,21
429,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,35,30,2762,30.7,23,13,36,18,5,6,1,0,22.7,17.8,10,27.8,125,122,451,0.75,0.42,1.17,0.59,1.01,0.74,0.33,1.07,0.58,0.91,53,6,8
430,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,34,33,2972,33,0,0,0,0,0,0,10,1,2,2,0.8,2.7,31,136,7,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,13,78,47
431,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,19,12,1134,12.6,0,0,0,0,0,0,5,0,0.6,0.6,1,1.6,28,84,16,0,0,0,0,0,0.05,0.08,0.13,0.05,0.13,3,13,18
432,Davinson Sánchez,co COL,DF,Tottenham,25,1996,23,17,1631,18.1,2,0,2,2,0,0,4,0,2.1,2.1,0.3,2.4,21,65,8,0.11,0,0.11,0.11,0.11,0.11,0.02,0.13,0.11,0.13,4,30,22
433,Robert Sánchez,es ESP,GK,Brighton,23,1997,37,37,3329,37,0,0,0,0,0,0,3,1,0,0,0.4,0.4,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,1
434,Jadon Sancho,eng ENG,FWMF,Manchester Utd,21,2000,29,20,1900,21.1,3,3,6,3,0,0,0,0,3.6,3.6,4.1,7.7,111,88,222,0.14,0.14,0.28,0.14,0.28,0.17,0.19,0.37,0.17,0.37,47,15,8
435,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,10,3,356,4,0,0,0,0,0,0,0,0,0,0,0,0,16,21,10,0,0,0,0,0,0,0.01,0.01,0,0.01,13,10,8
436,Samir Santos,br BRA,DF,Watford,26,1994,19,19,1673,18.6,0,0,0,0,0,0,4,0,0.5,0.5,0.1,0.6,1,24,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03,2,43,11
